ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,REGION,ESTRATO,LLAVE_PANEL,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C308_COD,C309_COD,C310,C311,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,whoraT,C330,C331,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C348,C347_T,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,fa_nde23,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,INGTOT,INGTOTP,RESIDENT
2022,11,17330,1,0077,1,4,1,1,202208173301007714,3,1,2, ,2,15,4,4,25,7,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2,6,5,2, ,2,2,2,2,2,2,10,7,4,406.217026, , , , , , , , , , ,1
2022,11,17330,1,0078,1,1,1,1,202208173301007811,1,1,2, ,2,39,1,1,11,11,1983,1, , , , , , , , , , , , , , ,7362,9523,2, ,1,1,6,6,6,6,6,6,6,50,1, ,2,2, , , ,500, , ,200, , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,10,9,1,382.86634, , ,480, , ,200, , ,680,480,1
2022,11,17330,1,0078,1,2,1,1,202208173301007812,3,1,2, ,1,17,2,2,16,2,2005,1, , , , , , , , , , , , , , ,9621,4773,3,5,1,2,0,4,4,4,4,4,0,20,1, ,2,2,2,200, , , , , , , , , , , , , , ,2,6,5,4, ,2,2,2,2,2,2,10,7,1,394.152482,866, , , , , , , ,866,866,1
2022,11,17330,1,0078,1,3,1,1,202208173301007813,3,1,2, ,2,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17330,1,0078,1,4,1,1,202208173301007814,3,1,2, ,1,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17330,1,0078,1,5,1,1,202208173301007815,3,1,2, ,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17330,1,0078,1,6,1,1,202208173301007816,3,1,2, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17330,1,0081,1,1,1,1,202208173301008111,1,1,2, ,1,36,1,1,19,1,1986,1, , , , , , , , , , , , , , ,9621,4773,3,5,1,3,0,8,0,8,0,8,0,24,1, ,2,1,2,50, , , , , , , , , , , , , , ,1,5,8,1, ,2,2,2,2,2,2,10,7,1,405.172218,217, , , , , , , ,217,217,1
2022,11,17330,1,0081,1,2,1,1,202208173301008112,2,1,2, ,2,42,2,2,14,6,1980,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,5,6,5, ,2,2,2,2,2,2,10,5,4,382.86634, , , , , , , , , , ,1
2022,11,17330,1,0081,1,3,1,1,202208173301008113,3,1,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,1735201,1,0047,1,1,1,1,20210817352011004711,1,1,2, ,1,83,1,1,23,5,1939,1, , , , , , , , , , , , , , ,9129,8129,2, ,1,1,0,4,4,4,4,4,0,28,1, ,2,2, , , ,650, , ,25, , , , , , , , , ,1,5,4,5, ,2,2,2,2,2,2,10,8,1,324.434186, , ,650, , ,25, , ,675,650,1
2022,11,1735201,1,0047,1,2,1,1,20210817352011004712,2,1,2, ,2,74,2,2,28,6,1948,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,5,4,5, ,2,2,2,2,2,2,10,7,4,298.656144, , , , , , , , , , ,1
2022,11,1735201,1,0048,1,1,1,1,20210817352011004811,1,1,2, ,1,65,1,1,19,9,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,8,1,2, , , ,1,5,9,3, ,2,2,2,2,2,2,10,7,4,324.434186, , , , , , , , , , ,1
2022,11,1735201,1,0048,1,2,1,1,20210817352011004812,2,1,2, ,2,58,2,2,17,7,1964,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,13,1,2,1,5,6,5, ,2,2,2,2,2,2,10,7,2,298.656144, , , , , , , , , , ,1
2022,11,1735201,1,0048,1,3,1,1,20210817352011004813,3,1,2, ,2,30,3,3,9,8,1992,1, , , , , , , , , , , , , , ,8153,1410,3,5,1,6,0,8,8,8,8,8,5,50,1, ,2,2,2,380,6, , , ,40, , , , , , , , , ,1,6,6,5, ,2,2,2,2,2,2,10,7,1,382.86634,1645,180, , , ,40, , ,1865,1825,1
2022,11,1735201,1,0048,1,4,1,1,20210817352011004814,3,1,2, ,2,21,4,4,14,2,2001,1, , , , , , , , , , , , , , ,5212,4771,3,5,1,3,10,10,10,10,0,10,10,60,1, ,2,2,2,200,60, , , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,10,7,1,406.217026,866,260, , , , , , ,1126,1126,1
