ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,PERS_NRO,REGION,ESTRATO,LLAVE_PANEL,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C308_COD,C309_COD,C310,C311,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,whoraT,C330,C331,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C348,C347_T,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,INGTOT,INGTOTP,RESIDENT,fa_aso22
2022,09,17273,1,0027,1,4,1,1,202206172731002714,3,1,2, ,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,09,17273,1,0028,1,1,1,1,202206172731002811,1,1,2, ,1,44,1,1,21,8,1978,1, , , , , , , , , , , , , , ,9521,4781,2, ,1,1,10,10,10,10,10,10,10,70,1, ,2,2, , , , , , , , , , , , , , , , ,1,5,3, ,5,2,2,2,2,2,2,10,1,1, , ,1850,450, , , , ,2300,2300,1,1509.15209960938
2022,09,17273,1,0028,1,2,1,1,202206172731002812,2,1,2, ,2,23,2,2,3,5,1999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,5,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , ,1,472.842712402344
2022,09,17273,1,0028,1,3,1,1,202206172731002813,3,1,2, ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,09,17273,1,0028,1,4,1,1,202206172731002814,3,1,2, ,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,08,17294,1,0005,1,1,1,1,202205172941000511,1,1,2, ,1,33,1,1,6,12,1988,1, , , , , , , , , , , , , , ,3257,4220,3,5,1,10,0,9,8,8,8,9,6,48,1, ,2,2,4,2018, , , , , , , , , , , , , , ,1,6,11,5, ,2,2,2,2,2,2,10,7,1,2018, , , , , , , ,2018,2018,1,486.823822021484
2022,08,17294,1,0005,1,2,1,1,202205172941000512,2,1,2, ,2,38,2,2,6,9,1983,1, , , , , , , , , , , , , , ,7354,1410,3,5,1,4,0,7,6,7,6,6,0,32,1, ,1,2,4,44,16, , , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,10,7,1,44,480, , , , , , ,524,524,1,1919.96594238281
2022,08,17294,1,0005,1,3,1,1,202205172941000513,3,1,2, ,1,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,08,17294,1,0006,1,1,1,1,202205172941000611,1,1,2, ,2,37,1,1,5,11,1984,1, , , , , , , , , , , , , , ,7322,3100,3,5,1,3,0,9,9,9,9,9,9,54,1, ,1,2,4,1083, , , , , , , , , , , , , , ,2,5,3, ,5,2,2,2,2,2,2,10,5,1,1083, , , , , , , ,1083,1083,1,477.480438232422
2022,08,17294,1,0006,1,2,1,1,202205172941000612,2,1,2, ,1,33,2,2,17,9,1988,1, , , , , , , , , , , , , , ,7322,3100,3,5,1,15,0,8,8,8,8,8,8,48,1, ,2,2,4,728, , , , , , , , , , , , , , ,1,5,10,1, ,2,2,2,2,2,2,10,7,1,728, , , , , , , ,728,728,1,1264.12561035156
2022,08,17294,1,0006,1,3,1,1,202205172941000613,3,1,2, ,2,14,3,3,2,2,2008,1, , , , , , , , , , , , , , ,9629,4921,3,5,3,100,0,0,0,8,0,3,0,11,1, ,1,2,3,312, , , , , , , , , , , , , , ,2,5,4, ,6,2,2,2,2,2,2,10,5,1,624, , , , , , , ,624,624,1,998.870422363281
2022,08,17294,1,0006,1,4,1,1,202205172941000614,3,1,2, ,1,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,08,17294,1,0006,1,5,1,1,202205172941000615,3,1,2, ,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,08,17294,1,0006,1,6,1,1,202205172941000616,3,1,2, ,2,16,6,6,2,8,2006,1, , , , , , , , , , , , , , ,7322,3100,3,5,1,15,10,10,10,10,0,0,10,50,1, ,2,2,4,364, , , , , , , , , , , , , , ,1,5,5,2, ,2,2,2,2,2,2,10,5,1,364, , , , , , , ,364,364,1,429.644409179688
2022,08,17294,1,0006,1,7,1,1,202205172941000617,4,1,2, ,1,24,7,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , ,1, 
2022,08,17294,1,0006,1,8,1,1,202205172941000618,5,1,2, ,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,08,17294,1,0007,1,1,1,1,202205172941000711,1,1,2, ,1,57,1,1,14,12,1964,1, , , , , , , , , , , , , , ,8321,4922,2, ,1,1,12,12,12,12,0,0,12,84,2,84,2,2, , , , , , , , , , , , , , , , ,1,1,11,5, ,2,2,2,2,2,2,1,1,1, , ,1400, , , , , ,1400,1400,1,494.115936279297
2022,08,17294,1,0008,1,1,1,1,202208172941000811,1,1,2, ,2,66,1,1,5,12,1955,2,1, , , , , , , , , , , , , ,9112,8521,3,2,5,600,0,0,0,0,0,0,0,35,2,35,1,2,4,1480, , , , , , , , , , , , , , ,2,1,6,5, ,2,2,2,2,2,2,10,7,1,1480, , , , , , , ,1480,1480,1,236.083602905273
2022,08,17294,1,0008,1,2,1,1,202208172941000812,3,1,2, ,1,30,2,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , ,1, 
2022,08,17294,1,0008,1,3,1,1,202208172941000813,3,1,2, ,2,25,3,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , ,1, 
2022,09,17295,1,0074,1,1,1,1,202206172951007411,1,1,2, ,2,41,1,1,27,2,1981,1, , , , , , , , , , , , , , ,3314,1071,1, ,1,3,10,10,10,10,10,10,10,70,1, ,2,2, , , , , , , , , , , , , , , , ,1,5,4, ,6,2,2,2,2,2,2,10,7,1, , ,899,400, , , , ,1299,1299,1,395.3916015625
2022,09,17295,1,0074,1,2,1,1,202206172951007412,2,1,2, ,1,35,2,2,3,1,1987,1, , , , , , , , , , , , , , ,7513,1071,3,5,1,3,8,8,8,8,8,8,0,48,1, ,2,2,4,1172, , , , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,10,7,1,1172, , , , , , , ,1172,1172,1,161.753295898438
2022,09,17295,1,0074,1,3,1,1,202206172951007413,3,1,2, ,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
