pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p20411,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_mjj22
2022,05,017512,005,0115,12,01,8,1,21051201,1,1,2, ,1,49,7,1, ,1,1,15,5,2022,21,5,2022,21,9,1972,1, , , , , , , , , , , , , , ,812,2220,4,5,2, ,99,99,2007,0,12,12,0,12,5,7,48,1, ,1,1,4,1500,260, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1500,260, , , , ,1760,1760,1,439.76770539441
2022,05,017512,005,0115,12,02,8,1,21051202,2,1,2, ,2,45,6,5, ,2,2,15,5,2022,21,5,2022,19,4,1977,1, , , , , , , , , , , , , , ,572,4772,3,5,1,6,1,2,2022,8,8,0,8,8,8,8,48,1, ,2,2,1,40,15, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,1000,375, , , , ,1375,1375,1,395.497852008035
2022,05,017512,005,0115,12,03,8,1,21051203,3,1,2, ,1,20,7,1, ,3,3,15,5,2022,21,5,2022,11,3,2002,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, , , , ,2,1,6,0,0,0,0,0,0,1,6,4,2, , , , , , , , ,1,498.660474637535
2022,05,017512,005,0115,12,04,8,1,21051204,3,1,2, ,2,10,3, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017512,005,0115,22,01,8,1,21052201,1,1,2, ,2,27,6,5, ,1,1,15,5,2022,21,5,2022,14,1,1995,1, , , , , , , , , , , , , , ,572,7830,3,4,2, ,99,6,2021,9,9,9,0,9,9,9,54,1, ,2,2,4,1200,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,1200,0, , , , ,1200,1200,1,536.920615610161
2022,05,017512,005,0115,22,02,8,1,21052202,3,1,2, ,2,10,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017512,005,0115,22,03,8,1,21052203,3,1,2, ,1,8,3, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017512,005,0116,12,01,8,1,21051201,1,1,2, ,1,47,6,5, ,1,1,15,5,2022,21,5,2022,24,7,1974,1, , , , , , , , , , , , , , ,984,1079,4,5,2, ,99,99,2007,0,12,12,12,5,7,0,48,1, ,2,1,4,2000,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,2000,0, , , , ,2000,2000,1,439.76770539441
2022,05,017512,005,0116,12,02,8,1,21051202,2,1,2, ,2,41,5,1, ,2,2,15,5,2022,21,5,2022,27,4,1981,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,1,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,536.920615610161
2022,05,017512,005,0116,12,03,8,1,21051203,3,1,2, ,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
