pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p20411,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_fma22
2022,02,017320,003,0113,11,03,8,1,22021103,3,1,2, ,2,10,3, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017320,003,0113,11,04,8,1,22021104,3,1,2, ,1,8,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017320,003,0114,11,01,8,1,22021101,1,1,2, ,1,40,6,5, ,1,1,6,2,2022,12,2,2022,16,6,1981,1, , , , , , , , , , , , , , ,983,4100,4,5,1,4,15,10,2021,0,10,10,10,10,10,10,60,1, ,2,1,2,400,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,1,1,1732,0, , , , ,1732,1732,1,388.836781889542
2022,02,017320,003,0114,11,02,8,1,22021102,2,1,2, ,2,31,3, ,3,2,2,6,2,2022,12,2,2022,8,7,1990,1, , , , , , , , , , , , , , ,572,4722,2, ,1,1,29,12,2021,14,14,14,14,14,14,14,98,1, ,1,2, , , ,1515,0,20,0,0, , , , , , , , ,6,0,0,0,0,0,0,1,1,1,1, , ,1515,0,20,0,1535,1515,1,375.612794541279
2022,02,017320,003,0114,11,03,8,1,22021103,3,1,2, ,1,13,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017320,003,0114,11,04,8,1,22021104,3,1,2, ,2,8,3, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017380,003,0081,11,01,8,1,21021101,1,1,2, ,1,50,6,5, ,1,1,23,1,2022,29,1,2022,30,1,1972,1, , , , , , , , , , , , , , ,945,4100,4,5,1,20,5,1,2022,0,8,8,8,8,8,8,48,1, ,2,2,2,350,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,1,1,1,1516,0, , , , ,1516,1516,1,436.641572293348
2022,02,017380,003,0081,11,02,8,1,21021102,2,1,2, ,2,45,3, ,4,2,2,23,1,2022,29,1,2022,27,12,1976,1, , , , , , , , , , , , , , ,572,4711,2, ,1,3,99,99,2014,0,7,7,7,7,7,7,42,1, ,2,2, , , ,370,0, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,370,0, , ,370,370,1,396.899506637501
2022,02,017380,003,0081,11,03,8,1,21021104,3,1,2, ,2,21,9,3, ,3,3,23,1,2022,29,1,2022,11,6,2000,1, , , , , , , , , , , , , , ,572,4711,5,5,1,3,99,99,2020,0,3,3,3,3,3,3,18,1, ,1,2, , , , , , , , , , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , , , , , ,0,0,1,575.398311113523
2022,02,017380,003,0081,11,04,8,1,21021105,3,1,2, ,2,16,6,5, ,4,4,23,1,2022,29,1,2022,29,3,2005,1, , , , , , , , , , , , , , ,572,4711,5,5,1,3,99,99,2019,0,5,5,5,5,5,5,30,1, ,2,2, , , , , , , , , , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , , , , , ,0,0,1,575.398311113523
2022,02,017380,003,0081,11,05,8,1,21021106,3,1,2, ,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017380,003,0082,11,01,8,1,21021101,1,1,2, ,1,42,3, ,5,1,1,23,1,2022,29,1,2022,10,2,1979,1, , , , , , , , , , , , , , ,945,4630,4,5,1,5,99,99,2004,0,8,8,8,8,8,5,45,1, ,1,2,2,326,0, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,6,4,1,1412,0, , , , ,1412,1412,1,558.952873966217
2022,02,017380,003,0082,11,02,8,1,21021102,2,1,2, ,2,47,5,1, ,2,2,23,1,2022,29,1,2022,10,8,1974,1, , , , , , , , , , , , , , ,772,9529,2, ,1,1,99,99,2019,0,3,0,0,0,0,0,3,2,10,1,2, , , ,30,0, , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,6,4,1, , ,30,0, , ,30,30,1,396.899506637501
2022,02,017380,003,0082,11,03,8,1,22021103,3,1,2, ,2,26,8,3, ,3,3,23,1,2022,29,1,2022,5,11,1995,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,4,2,1,6,0,0,0,0,0,0,1,6,4,2, , , , , , , , ,1,539.943392153088
2022,02,017380,003,0082,11,04,8,1,21021103,3,1,2, ,2,17,6,5, ,4,4,23,1,2022,29,1,2022,15,5,2004,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,4,1,1,6,0,0,0,0,0,0,1,6,4,2, , , , , , , , ,1,575.398311113523
2022,02,017380,003,0082,11,05,8,1,21021104,3,1,2, ,1,14,5,3, ,5,5,23,1,2022,29,1,2022,8,6,2007,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,1,5,0, ,2,6,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,526.176237792427
2022,02,017380,003,0082,11,06,8,1,21021106,3,1,2, ,1,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017380,003,0083,11,01,8,1,21021101,1,1,2, ,1,44,6,5, ,1,1,23,1,2022,29,1,2022,10,9,1977,1, , , , , , , , , , , , , , ,931,4921,4,5,1,2,31,1,2022,0,8,8,8,8,8,0,40,1, ,1,2,2,286,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,1238,0, , , , ,1238,1238,1,558.952873966217
2022,02,017380,003,0083,11,02,8,1,21021102,2,1,2, ,2,42,4, ,6,2,2,23,1,2022,29,1,2022,14,5,1979,1, , , , , , , , , , , , , , ,522,5629,2, ,1,1,15,12,2021,6,0,0,0,0,2,6,14,1, ,1,2, , , ,200,20, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,200,20, , ,220,220,1,539.943392153088
2022,02,017380,003,0083,11,03,8,1,22021103,3,1,1, ,1,24,8,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022,02,017380,003,0083,11,04,8,1,21021103,3,1,2, ,1,18,6,5, ,4,4,23,1,2022,29,1,2022,28,5,2003,1, , , , , , , , , , , , , , ,462,8219,2, ,1,1,15,12,2021,0,6,6,6,6,6,6,36,1, ,2,2, , , ,130,0, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,130,0, , ,130,130,1,526.176237792427
2022,02,017380,003,0083,11,05,8,1,21021104,3,1,2, ,2,17,6,5, ,5,5,23,1,2022,29,1,2022,7,9,2004,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , ,0, ,2,6,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,575.398311113523
2022,02,017380,003,0083,11,06,8,1,21021105,3,1,2, ,1,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017380,003,0085,11,01,8,1,21021104,1,1,2, ,1,64,6,5, ,1,1,23,1,2022,29,1,2022,13,6,1957,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,6,0, ,1,5,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,436.641572293348
2022,02,017380,003,0085,11,02,8,1,22021102,3,1,2, ,1,26,9,2, ,2,2,23,1,2022,29,1,2022,14,4,1995,1, , , , , , , , , , , , , , ,312,7110,3,5,1,50,1,5,2021,0,9,8,8,8,9,6,48,1, ,1,2,3,1700,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,3400,0, , , , ,3400,3400,1,558.952873966217
2022,02,017380,003,0085,11,03,8,1,21021101,3,1,2, ,1,28,7,2, ,3,3,23,1,2022,29,1,2022,26,7,1993,1, , , , , , , , , , , , , , ,312,4100,3,5,2, ,99,2,2021,0,8,8,8,8,8,6,46,1, ,2,1,3,1600,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,3200,0, , , , ,3200,3200,1,558.952873966217
